iter	Passed	Remaining
383	1391	2232
384	1394	2227
385	1397	2223
386	1401	2219
387	1404	2215
388	1407	2210
389	1410	2206
390	1413	2202
391	1417	2198
392	1420	2193
393	1423	2189
394	1426	2185
395	1429	2180
396	1433	2177
397	1437	2173
398	1441	2170
399	1444	2167
400	1447	2162
401	1451	2158
402	1454	2154
403	1457	2150
404	1460	2146
405	1464	2141
406	1467	2137
407	1470	2133
408	1473	2129
409	1476	2125
410	1479	2120
411	1483	2116
412	1486	2112
413	1489	2108
414	1493	2104
415	1496	2100
416	1499	2096
417	1503	2092
418	1506	2089
419	1509	2084
420	1513	2080
421	1516	2076
422	1519	2072
423	1522	2068
424	1526	2064
425	1529	2060
426	1532	2056
427	1535	2052
428	1538	2048
429	1542	2044
430	1545	2040
431	1548	2036
432	1552	2032
433	1556	2029
434	1559	2025
435	1563	2021
436	1566	2018
437	1587	2036
438	1590	2032
439	1593	2028
440	1596	2024
441	1599	2019
442	1603	2016
443	1606	2011
444	1617	2017
445	1620	2012
446	1623	2008
447	1633	2012
448	1636	2008
449	1639	2003
450	1642	1999
451	1645	1995
452	1649	1991
453	1663	2000
454	1666	1996
455	1669	1992
456	1673	1988
457	1676	1984
458	1679	1979
459	1682	1975
460	1686	1971
461	1689	1967
462	1693	1963
463	1696	1959
464	1699	1955
465	1703	1952
466	1706	1948
467	1710	1943
468	1713	1940
469	1716	1936
470	1720	1931
471	1723	1927
472	1726	1923
473	1730	1919
474	1733	1915
475	1736	1911
476	1739	1907
477	1743	1903
478	1746	1899
479	1749	1895
480	1753	1892
481	1756	1887
482	1759	1883
483	1763	1879
484	1765	1875
485	1769	1871
486	1772	1866
487	1775	1862
488	1778	1858
489	1781	1854
490	1785	1850
491	1787	1845
492	1791	1841
493	1794	1838
494	1797	1834
495	1801	1830
496	1804	1826
497	1807	1821
498	1810	1817
499	1813	1813
500	1816	1809
501	1819	1805
502	1823	1801
503	1826	1797
504	1829	1792
505	1832	1788
506	1835	1784
507	1846	1788
508	1849	1784
509	1853	1780
510	1856	1776
511	1859	1772
512	1862	1768
513	1866	1764
514	1869	1760
515	1872	1756
516	1875	1752
517	1879	1748
518	1882	1744
519	1885	1740
520	1889	1736
521	1891	1732
522	1894	1728
523	1897	1723
524	1900	1719
525	1902	1714
526	1905	1710
527	1909	1706
528	1912	1702
529	1915	1698
530	1918	1694
531	1921	1690
532	1923	1685
533	1927	1681
534	1930	1677
535	1933	1673
536	1936	1669
537	1940	1666
538	1943	1662
539	1946	1658
540	1949	1653
541	1953	1650
542	1967	1655
543	1970	1651
544	1973	1647
545	1976	1643
546	1979	1639
547	1982	1635
548	1986	1631
549	1989	1627
550	1992	1623
551	1995	1619
552	1999	1616
553	2002	1612
554	2005	1608
555	2008	1603
556	2011	1599
557	2014	1595
558	2017	1591
559	2021	1588
560	2024	1584
561	2027	1580
562	2030	1576
563	2033	1571
564	2036	1568
565	2040	1564
566	2043	1560
567	2046	1556
568	2049	1552
569	2052	1548
570	2055	1544
571	2059	1540
572	2062	1536
573	2065	1532
574	2068	1529
575	2072	1525
576	2075	1521
577	2078	1517
578	2081	1513
579	2084	1509
580	2087	1505
581	2090	1501
582	2093	1497
583	2096	1493
584	2100	1489
585	2103	1485
586	2106	1481
587	2109	1478
588	2112	1474
589	2115	1470
590	2118	1466
591	2121	1462
592	2124	1458
593	2128	1454
594	2131	1450
595	2134	1446
596	2137	1443
597	2140	1439
598	2143	1435
599	2147	1431
600	2150	1427
601	2154	1424
602	2157	1420
603	2161	1416
604	2164	1413
605	2167	1409
606	2170	1405
607	2174	1401
608	2177	1398
609	2181	1394
610	2184	1390
611	2187	1386
612	2189	1382
613	2192	1378
614	2195	1374
615	2198	1370
616	2201	1366
617	2204	1362
618	2207	1358
619	2210	1354
620	2213	1351
621	2217	1347
622	2220	1343
623	2223	1339
624	2226	1336
625	2229	1332
626	2232	1328
627	2235	1324
628	2238	1320
629	2241	1316
630	2244	1312
631	2248	1309
632	2251	1305
633	2254	1301
634	2257	1297
635	2260	1293
636	2263	1289
637	2266	1286
638	2270	1282
639	2273	1278
640	2276	1275
641	2280	1271
642	2283	1267
643	2286	1263
644	2289	1260
645	2292	1256
646	2295	1252
647	2299	1249
648	2302	1245
649	2305	1241
650	2309	1237
651	2312	1234
652	2315	1230
653	2318	1226
654	2321	1222
655	2324	1218
656	2327	1215
657	2330	1211
658	2333	1207
659	2336	1203
660	2339	1199
661	2342	1195
662	2345	1192
663	2348	1188
664	2350	1184
665	2353	1180
666	2357	1176
667	2360	1172
668	2363	1169
669	2366	1165
670	2369	1161
671	2372	1157
672	2374	1153
673	2377	1150
674	2380	1146
675	2382	1142
676	2385	1138
677	2388	1134
678	2391	1130
679	2395	1127
680	2397	1123
681	2401	1119
682	2404	1115
683	2407	1112
684	2410	1108
685	2413	1104
686	2416	1101
687	2420	1097
688	2422	1093
689	2425	1089
690	2428	1085
691	2431	1082
692	2434	1078
693	2436	1074
694	2440	1070
695	2443	1067
696	2446	1063
697	2449	1059
698	2452	1056
699	2454	1052
700	2457	1048
701	2460	1044
702	2462	1040
703	2465	1036
704	2469	1033
705	2472	1029
706	2475	1025
707	2477	1021
708	2481	1018
709	2483	1014
710	2487	1011
711	2490	1007
712	2492	1003
713	2495	999
714	2498	995
715	2501	992
716	2503	988
717	2506	984
718	2509	980
719	2511	976
720	2514	972
721	2517	969
722	2519	965
723	2523	961
724	2526	958
725	2528	954
726	2531	950
727	2533	946
728	2536	943
729	2540	939
730	2542	935
731	2545	932
732	2548	928
733	2552	924
734	2555	921
735	2558	917
736	2562	914
737	2564	910
738	2567	906
739	2570	903
740	2573	899
741	2576	895
742	2579	892
743	2582	888
744	2584	884
745	2587	880
746	2590	877
747	2593	873
748	2597	870
749	2600	866
750	2604	863
751	2607	859
752	2610	856
753	2613	852
754	2617	849
755	2620	845
756	2623	842
757	2626	838
758	2629	834
759	2632	831
760	2634	827
761	2637	823
762	2640	820
763	2643	816
764	2645	812
765	2648	809
766	2651	805
767	2654	801
768	2656	798
769	2659	794
770	2662	790
771	2665	787
772	2667	783
773	2670	779
774	2673	776
775	2676	772
776	2679	768
777	2681	765
778	2684	761
779	2687	758
780	2690	754
781	2692	750
782	2695	747
783	2698	743
784	2700	739
785	2703	736
786	2706	732
787	2708	728
788	2711	725
789	2714	721
790	2716	717
791	2719	714
792	2722	710
793	2725	707
794	2728	703
795	2731	699
796	2733	696
797	2736	692
798	2739	689
799	2741	685
800	2744	681
801	2747	678
802	2751	674
803	2754	671
804	2757	667
805	2759	664
806	2763	660
807	2766	657
808	2768	653
809	2772	650
810	2775	646
811	2778	643
812	2781	639
813	2784	636
814	2787	632
815	2790	629
816	2792	625
817	2795	622
818	2798	618
819	2801	614
820	2803	611
821	2806	607
822	2809	604
823	2812	600
824	2815	597
825	2818	593
826	2821	590
827	2824	586
828	2827	583
829	2830	579
830	2832	576
831	2835	572
832	2838	569
833	2841	565
834	2843	561
835	2846	558
836	2849	554
837	2852	551
838	2854	547
839	2857	544
840	2860	540
841	2862	537
842	2865	533
843	2867	530
844	2870	526
845	2873	523
846	2876	519
847	2879	516
848	2881	512
849	2884	509
850	2887	505
851	2889	501
852	2892	498
853	2894	494
854	2897	491
855	2900	487
856	2902	484
857	2905	480
858	2908	477
859	2910	473
860	2913	470
861	2916	466
862	2919	463
863	2922	460
864	2925	456
865	2928	453
866	2932	449
867	2934	446
868	2937	442
869	2939	439
870	2942	435
871	2945	432
872	2948	428
873	2951	425
874	2954	422
875	2956	418
876	2959	415
877	2962	411
878	2965	408
879	2968	404
880	2970	401
881	2973	397
882	2976	394
883	2979	390
884	2981	387
885	2984	383
886	2986	380
887	2989	377
888	2992	373
889	2995	370
890	2998	366
891	3000	363
892	3003	359
893	3006	356
894	3009	353
895	3011	349
896	3014	346
897	3017	342
898	3021	339
899	3025	336
900	3028	332
901	3031	329
902	3033	325
903	3036	322
904	3039	319
905	3042	315
906	3044	312
907	3047	308
908	3050	305
909	3053	302
910	3057	298
911	3059	295
912	3062	291
913	3065	288
914	3068	285
915	3071	281
916	3073	278
917	3076	274
918	3079	271
919	3082	268
920	3085	264
921	3087	261
922	3090	257
923	3093	254
924	3096	251
925	3099	247
926	3102	244
927	3105	240
928	3108	237
929	3110	234
930	3114	230
931	3116	227
932	3119	224
933	3122	220
934	3125	217
935	3128	213
936	3131	210
937	3133	207
938	3136	203
939	3140	200
940	3143	197
941	3146	193
942	3149	190
943	3152	187
944	3155	183
945	3158	180
946	3161	176
947	3163	173
948	3166	170
949	3169	166
950	3171	163
951	3174	160
952	3177	156
953	3180	153
954	3183	149
955	3186	146
956	3189	143
957	3191	139
958	3194	136
959	3197	133
960	3200	129
961	3203	126
962	3206	123
963	3209	119
964	3212	116
965	3215	113
966	3218	109
967	3220	106
968	3223	103
969	3226	99
970	3228	96
971	3231	93
972	3235	89
973	3239	86
974	3242	83
975	3246	79
976	3248	76
977	3251	73
978	3254	69
979	3257	66
980	3259	63
981	3262	59
982	3265	56
983	3268	53
984	3270	49
985	3273	46
986	3276	43
987	3279	39
988	3282	36
989	3285	33
990	3288	29
991	3291	26
992	3294	23
993	3297	19
994	3300	16
995	3303	13
996	3306	9
997	3309	6
998	3312	3
999	3315	0
